,id,name,population
51,CPV,Cape Verde,-0.0322580645161
50,CUB,Cuba,-0.017199017199
213,SWZ,Swaziland,0.00865051903114
212,SYR,Syria,-0.010752688172
211,SXM,Sint Maarten,-0.014598540146
115,KGZ,Kyrgyzstan,-0.00771208226221
114,KEN,Kenya,-0.00371747211896
197,SSD,South Sudan,0.0103686635945
208,SUR,Suriname,-0.00490196078431
117,KIR,Kiribati,-0.0112359550562
116,KHM,Cambodia,0.0078125
210,SLV,El Salvador,0.0015625
118,COM,Comoros,-0.00632911392405
209,STP,Sao Tome and Principe,-0.0193548387097
203,SVK,Slovakia,0.0
202,SJM,Svalbard and Jan Mayen,-0.00649350649351
201,SVN,Slovenia,0.002331002331
200,SHN,Saint Helena,-0.0243902439024
207,SOM,Somalia,-0.00131926121372
206,SEN,Senegal,-0.00267022696929
205,SMR,San Marino,0.0227272727273
204,SLE,Sierra Leone,0.0130718954248
195,SYC,Seychelles,-0.00796812749004
194,SLB,Solomon Islands,-0.0198675496689
124,CYM,Cayman Islands,-0.0147058823529
199,SGP,Singapore,0.0313901345291
198,SWE,Sweden,0.0040899795501
196,SDN,Sudan,0.0
60,DOM,Dominican Republic,0.00584795321637
59,DMA,Dominica,-0.0152671755725
57,DJI,Djibouti,-0.010498687664
58,DNK,Denmark,0.0
56,DEU,Germany,0.00725952813067
245,YEM,Yemen,-0.0194384449244
11,AUT,Austria,0.0105485232068
61,DZA,Algeria,0.00639658848614
233,USA,United States,-0.00683526999316
135,LVA,Latvia,0.0027397260274
234,URY,Uruguay,-0.00393700787402
246,MYT,Mayotte,-0.0105263157895
232,UMI,United States Minor Outlying Islands,0.0151515151515
119,KNA,Saint Kitts and Nevis,-0.02
127,LBN,Lebanon,0.0
128,LCA,Saint Lucia,-0.00778210116732
126,LAO,Laos,0.0
227,TUV,Tuvalu,-0.0181818181818
228,TWN,Taiwan,-0.0205761316872
226,TTO,Trinidad and Tobago,-0.0115163147793
225,TUR,Turkey,-0.00338983050847
130,LKA,Sri Lanka,-0.00359066427289
129,LIE,Liechtenstein,0.00363636363636
223,TUN,Tunisia,-0.0138888888889
224,TON,Tonga,-0.0421052631579
221,TLS,East Timor,-0.0221402214022
222,TKM,Turkmenistan,-0.00697674418605
219,TJK,Tajikistan,-0.00771208226221
220,TKL,Tokelau,-0.0217391304348
218,THA,Thailand,0.00593220338983
216,ATF,French Southern Territories,-0.0263157894737
217,TGO,Togo,0.00696378830084
215,TCD,Chad,0.015923566879
214,TCA,Turks and Caicos Islands,-0.0142348754448
136,LBY,Libya,-0.00789473684211
236,VAT,Vatican,0.0555555555556
237,VCT,Saint Vincent and the Grenadines,-0.0080971659919
1,ARE,United Arab Emirates,0.00223713646532
0,AND,Andorra,-0.0125
3,ATG,Antigua and Barbuda,-0.018115942029
239,VGB,British Virgin Islands,-0.020202020202
4,AIA,Anguilla,-0.0238095238095
240,VIR,U.S. Virgin Islands,-0.030888030888
108,ISL,Iceland,0.00323624595469
107,IRN,Iran,-0.00153846153846
6,ARM,Armenia,0.00808625336927
109,ITA,Italy,0.0
7,AGO,Angola,0.00352112676056
8,ATA,Antarctica,-0.0112359550562
10,ASM,American Samoa,-0.0641025641026
9,ARG,Argentina,0.0110410094637
103,IMN,Isle of Man,0.0
102,ISR,Israel,-0.00830564784053
13,ABW,Aruba,-0.0232558139535
104,IND,India,-0.0137254901961
229,TZA,Tanzania,-0.00903614457831
15,AZE,Azerbaijan,0.00232018561485
101,IRL,Ireland,-0.00947867298578
100,IDN,Indonesia,0.00718735026354
230,UKR,Ukraine,-0.00674157303371
187,QAT,Qatar,-0.00714285714286
159,MOZ,Mozambique,-0.00460829493088
